
text,label
تعال نخلص الشغل ونتعشى,safe
وين وصلت بالطريق,safe
عندي هدية صغيرة لك,safe
اليوم حلو خلينا نتمشى,safe
احكيلي عن يومك كيف كان,safe
المحاضرة تأجلت لبكرة,safe
بدي رأيك في موضوع مهم,safe
راح اتأخر شوي لا تقلق,safe
عندك وقت نتكلم شوي,safe
مبروك التخرج والله يوفقك,safe
هلا بالغالي وينك مختفي,safe
جيت البيت ولا لسه,safe
تعال نشرب شاي ونضحك,safe
اليوم شفتك من بعيد وين كنت,safe
بتذكرك دايما والحمدلله,safe
النت ضعيف عندك مشكلتي زيك,safe
وينكم ناديتكم مليون مرة,safe
تعال نروح السوق مع بعض,safe
خلصت الامتحان والحمدلله,safe
بكرة اجازة واخيرا,safe
عندك خبر عن الرحلة,safe
السيارة صارلها صيانة,safe
تعال نلعب كورة بكرة,safe
المحل الجديد فاتح تعال نشوفه,safe
وين راح نروح اليوم,safe
كلمني لما توصل عشان اطمن,safe
الصور طلعت حلوة والله,safe
خلينا نغير جو ونروح برا,safe
اليوم ذكرى تعارفنا مبروك,safe
عندي مشكلة صغيرة بساعدني,safe
جاية عندك بكرة ان شاء الله,safe
تعبت وبدي ارتاح شوي,safe
وين بتقعد اليوم في البيت,safe
الفيزا خلصت عادي اسوي لك جديدة,safe
عندك فلوس زيادة اقترض منك,safe
اليوم صار لي اسبوع ما شفتك,safe
نورت المجموعة والله,safe
مين ساعدك بالواجب,safe
روح نام انت تعبان,safe
اشتقت لك كثير تعال,safe
ما في احلى من اصدقاء زمان,safe
الدراسة توهقني بس برتاح بكرة,safe
كيف امك الحمدلالله تمام,safe
شكرا على الهدية تعبتك معاي,safe
الغدا جاهز تعال,safe
وين رايح بكرة الصبح,safe
الشغل زحمه اليوم تعبان,safe
تعال نطلع بكرة العصر,safe
عندك وقت فراغ بكرة,safe
يا جماعة في مقلب بكرا,safe
انا جوعان وين الاكل,safe
الله يسعدك ويخليك,safe
روح اشترينا عصير ونعود,safe
تعال نغير جو اليوم,safe
وينكم يا حلوين نبي نشوفكم,safe
انجزت المشروع والحمدلله,safe
السفر قريب استعدوا,safe
الطفل نام خلاص,safe
اليوم اخر يوم دوام,safe
تعال نلتقي بكرة ونتكلم,safe
كيف الاجواء عندكم,safe
انتظرك عند البيت,safe
وش تسوي بكرة العصر,safe
تعال نروح نزور خالتك,safe
في مشكلة بالسيارة بساعدني,safe
القهوة بتاعتك جاهزة,safe
مبروك النجاح والله يوفقك,safe
عندك فاضي نروح نتمشى,safe
احكيلي عن مشكلتك,safe
وين اشتريت هذي الجميلة,safe
نورت يا غالي,safe
انتبه لنفسك في الطريق,safe
راجع البيت باكر اليوم,safe
تعال نلعب اونلاين,safe
اليوم حار جداً ابقى بالبيت,safe
عندك اقتراح لنشتري هدية,safe
العفاسي بيسجل بجوارنا بكره,safe
خلنا نعمل حفلة مفاجئة,safe
النت ضعيف مافي شارع,safe
ياخي تعبت من الدراسة,safe
وش خططك للعطلة,safe
محتاج مساعدة بسيطة,safe
كلمني اذا تحتاج اي شيء,safe
تعال ناخذ قهوة ونفتح سالفة,safe
يا ليتك تجي نلعب,safe
البيت نظيف والحمدلله,safe
وين رايح هالسرعة,safe
تعال نروح النادي,safe
بكرة اجازة نهاية الاسبوع,safe
كيف الوالدة الله يخليها,safe
الصداقة الحقيقية نعمة,safe
اشتريت لك شي تحبه,safe
تعال نذاكر سوا,safe
بتذكر ايام زمان,safe
مين معي بكرة في المقهى,safe
اليوم شفت حلم غريب,safe
ودي اروح مكان هادي,safe
خلينا نعمل شي مميز,safe
عندي مفاجئة لك,safe
لا تنسى موعد الطبيب,safe
الدرس صعب شوي بس بنجتهد,safe
ان شاء الله كل شي بيرتاح,safe
كلمني لو تحتاج مساعدة,safe
عيونك تؤلمك نام,safe
متى بتزورنا خلاص,safe
نورتونا والله,safe
ما قصرت معنا اليوم,safe
انتبه لصحتك,safe
جربت المطعم الجديد حلو,safe
العب معانا اونلاين,safe
امك تسأل عنك,safe
مافي احلى من العائلة,safe
تعال نجهز للرحلة,safe
جاني نوم باكر اليوم,safe
شكرا على كل شيء,safe
دعواتك لي بالنجاح,safe
انتضرك عند البيت,safe
نورنا يا حبيب,safe
وش الاخبار عندك,safe
احنا فاكرينك,safe
الطقس بارد البس كويس,safe
مافي جديد كل شي تمام,safe
انا سعيد لاني اعرفك,safe
بتذكر يوم تعارفنا,safe
ان شاء الله القادم احلى,safe
كيف الولد في المدرسة,safe
محتاج ارتاح شوي,safe
مافي مشكلة كل شي تمام,safe
انا موجود لمساعدتك,safe
تعال نلعب بلعب جديدة,safe
بكرة بدري لا تتأخر,safe
فرحان لانك صديقي,safe
ساعدني شوي وبتخلص,safe
الصور طلعت روعة,safe
مافي اروع من اليوم,safe
عندي قصة مضحكة بقولك,safe
متى بنشوف بعض,safe
انتبه على نفسك,safe
الحمدلله على السلامة,safe
ان شاء الله كل شي بيكون احسن,safe
فزت بجائزة من الشيخ ادفع فقط 500,scam
لديك ارث في اليمن تواصل معنا,scam
البنك اليمني يطلب تحديث بياناتك,scam
تم اختيارك للفوز بسيارة فارهة,scam
ارسل رقم حسابك لاستلام المنحة,scam
لديك مبلغ كبير في صندوق الزكاة,scam
الرئيس يوزع جوائز على المواطنين,scam
حسابك موقوف ادفع رسوم التفعيل,scam
فزت برحلة عمرة مجانية سجل الان,scam
لديك حوالة مالية من الخارج,scam
شركة الاتصالات تقدم هدايا,scam
تم اختيارك للفوز بأرض في صنعاء,scam
ارسل بياناتك لنرسل لك المكرمة,scam
لديك رصيد مجاني من شركة المحمول,scam
فزت ببيت في عدن ادفع الضرائب,scam
الجامعة تقدم منحة دراسية سجل,scam
لديك تأمين صحي مجاني,scam
تم اختيارك للفوز بسيارة تويوتا,scam
ارسل الوراق الثبوتية للاستلام,scam
لديك دعم حكومي اضغط هنا,scam
فزت بجائزة نقدية من الملياردير,scam
البنك المركزي يوزع اموال على المودعين,scam
تم اختيارك للفوز برحلة دبي,scam
ارسل معلوماتك لتأكيد الاستحقاق,scam
لديك مكرمة ملكية اضغط للاستلام,scam
فزت بشقة في المعلا ادفع التسجيل,scam
شركة النفط توزع ارباح على المواطنين,scam
تم اختيارك للفوز بمنحة الحج,scam
ارسل رقم جوالك لتأكيد الجائزة,scam
لديك رصيد مجاني من المكالمات,scam
فزت بمبلغ مليون ريال يمني,scam
الامم المتحدة تقدم مساعدات سجل,scam
تم اختيارك للفوز بسيارة لكزس,scam
ارسل عنوانك لاستلام الهدية,scam
لديك قسيمة شراء من السوق الكبير,scam
فزت بجائزة عيد الاضحى,scam
وزارة الكهرباء تطلب تحديث بياناتك,scam
تم اختيارك للفوز برحلة سياحية,scam
ارسل صورة هويتك للتحقق,scam
لديك مكافأة من مؤسسة خيرية,scam
فزت بجهاز جوال حديث سجل الان,scam
الجمارك تطلب دفع رسوم الطرد,scam
تم اختيارك للفوز بمنحة دراسية,scam
ارسل تأكيد الاستلام لنرسل الجائزة,scam
لديك هدية من فندق شهير,scam
فزت برحلة إلى ماليزيا,scam
شركة الكهرباء تقدم خصم 90%,scam
تم اختيارك للفوز بمبلغ 10000,scam
ارسل الكود لتفعيل البطاقة,scam
لديك عرض حصري من البنك الاهلي,scam
كلمة سرك لبريدك ضاعت اعطينيها,scam
فزت بجائزة مليون ريال ادخل الرابط,scam
حسابك موقوف اضغط هنا لتفعيله,scam
احد يحاول الدخول لحسابك تاكد من الرابط,scam
ارسل رقمك عشان نرسل لك جائزتك,scam
لديك طرد محجوز ادفع 50 ريال لاستلامه,scam
تم اختراق حسابك اضغط الرابط لاستعادته,scam
البنك يطلب تحديث بياناتك عبر هذا الرابط,scam
فزت بآيفون جديد ادفع مصاريف الشحن فقط,scam
لديك مبلغ 5000 ريال مستحق استلمه من الرابط,scam
حسابك مؤقت سيغلق خلال ساعة ما لم تدخل هنا,scam
تم اكتشاف نشاط مشبوه على حسابك تاكد,scam
الشركة تقدم هدية لكل العملاء ادخل الرابط,scam
لديك رصيد مجاني ارسل 1 لاستلامه,scam
تم اختيارك للفوز بسيارة ادفع الرسوم فقط,scam
الدفع فاشل اعد ادخال بيانات البطاقة,scam
حسابك محظور انقر هنا للغاء الحظر,scam
عروض حصرية لزبائننا الكرام اضغط هنا,scam
تم محاولة شراء بقيمة 3000 ريال اذا كنت انت اضغط نعم,scam
ارسل كلمة نعم لاستلام جائزتك الفورية,scam
لديك نقاط منتهية الصلاحية استخدمها الان,scam
تم تسجيل دخولك من جهاز جديد تاكد,scam
العميل العزيز لديك قسيمة خصم 70% ادخل هنا,scam
حسابك غير آمن اضغط للتحديث,scam
خدمة العملاء تتصل بك تفضل الرابط للتواصل,scam
تم اختيار رقمك للفوز بجائزة قيمة,scam
البنك يقوم بتحويل مكافأة للعملاء النشطين,scam
اضغط هنا لاستلام مكافأة الولاء,scam
لديك اشعار مهم من البنك افتح الرابط,scam
تم تعليق معاملتك المالية تاكد من الرابط,scam
عرض لفترة محدودة سارع بالدخول,scam
تم تجميد رصيدك اتصل على هذا الرقم,scam
فزت بتذكرة سفر مجانية ادفع الضرائب فقط,scam
انقر هنا لتفعيل العرض الحصري,scam
الدفع لم يكتمل اعد المحاولة عبر الرابط,scam
حسابك مؤهل لمكافأة خاصة,scam
تم اكتشاف خطأ في حسابك اصلحه الان,scam
اضغط لاستلام هديتك من المتجر,scam
العميل العزيز تم سحب اسمك للفوز,scam
لديك مكالمة مهمة من البنك استمع للرسالة,scam
انقر هنا لتفادي اغلاق حسابك,scam
عرض خاص لشحن الرصيد بخصم 90%,scam
تم تسجيل محاولة اختراق احمي حسابك,scam
البنك يقدم قرض بفائدة 0% سجل الان,scam
ادخل الرابط لاستلام قسيمة الشراء,scam
حسابك يحتاج تحديث امني عاجل,scam
فزت بعرض العمر لا تفوت الفرصة,scam
لديك نقاط مجانية استخدمها قبل انتهائها,scam
تم محاولة تحويل من حسابك اذا كنت انت قم بالتفعيل,scam
ارسل yes لاستلام مكافأة 1000 ريال,scam
حسابك موقوف مؤقتا لتفعيله اضغط هنا,scam
الشركة توزع اجهزة مجانية على العملاء,scam
الرصيد منتهي الصلاحية جدد الان,scam
تم تسجيل دخولك من مكان غير معروف,scam
اضغط لتفعيل العرض قبل انتهاء الوقت,scam
العميل المميز تم اختيارك للعرض الخاص,scam
لديك مبلغ مجاني في محفظتك الان,scam
حسابك في خطر انقر للحماية,scam
تم اكتشاف نشاط غير عادي تاكد,scam
فزت بجائزة نقدية كبيرة سجل بياناتك,scam
البنك يطلب التحقق من هويتك عبر الرابط,scam
عرض الصيف الحصري ادخل هنا,scam
لديك رسالة مهمة من الحكومة افتحها,scam
تم تجميد معاملتك لاسباب امنية,scam
اضغط لاستلام هدية عيد ميلادك,scam
حسابك مؤهل لخصم 50% على كل المشتريات,scam
تم تسجيل شكوى باسمك تاكد من الرابط,scam
ارسل رقم البطاقة لتأكيد هويتك,scam
العميل العزيز تم اختيارك عشوائيا للفوز,scam
لديك نقاط ذهبية استبدلها الان,scam
حسابك غير كامل اكمل البيانات عبر الرابط,scam
تم محاولة شراء بقيمة كبيرة تاكد,scam
فزت برحلة مجانية ادفع التأمين فقط,scam
البنك يقدم عروضا خاصة للعملاء الدائمين,scam
ادخل الرابط لاستلام قرض بدون فوائد,scam
حسابك مقيد قم بالغاء القيد هنا,scam
لديك مكالمة مجانية من الدعم الفني,scam
تم اكتشاف مخالفة في حسابك اصححها,scam
اضغط لتفعيل حسابك البنكي,scam
عرض خاص لفترة محدودة جدا,scam
حسابك مؤهل لمضاعفة الرصيد,scam
تم تسجيل عملية تحويل مشبوهة,scam
ارسل الاسم والرقم لتفعيل الجائزة,scam
لديك فرصة للفوز بمنزل احلامك,scam
حسابك يحتاج تأكيد الهوية فورا,scam
تم تعطيل حسابك الدخول هنا للتفعيل,scam
العميل العزيز لديك مكافأة متراكمة,scam
ادخل الرابط لاستلام مبلغك المجاني,scam
فزت بجائزة سياحية حول العالم,scam
البنك يقوم بتحديث النظام ادخل بياناتك,scam
لديك قسيمة شراء مجانية من المتجر,scam
تم تسجيل شحن رصيد خاطئ تاكد,scam
اضغط هنا لاستلام دخل شهري مجاني,scam
حسابك في قائمة الفائزين بالجائزة الكبرى,scam
تم اكتشاف محاولة سرقة معلوماتك,scam
ارسل الرمز المرسل اليك لتأكيد حسابك,scam
لديك عرض لا يعوض ادخل الان,scam
حسابك غير نشط قم بتفعيله,scam
تم اختيارك كعميل مميز لهذا الشهر,scam
البنك يقدم هدايا عينية سجل بيانات الاستلام,scam
ادخل الرابط لتفادي الغرامات,scam
حسابك يحتاج تحديث لمواصلة الخدمة,scam
فزت بجهاز كمبيوتر محمول ادخل للاستلام,scam
لديك مكالمة انتظار من خدمة المكافآت,scam
تم تجميد مكافأتك لعدم الاستلام,scam
اضغط لاستلام مكافأة الولاء الخاصة,scam
حسابك في خطر بسبب اختراق جماعي,scam
تم تسجيل دخولك من عدة اجهزة,scam
ارسل نعم للحصول على دعم مالي,scam
لديك فرصة للفوز براتب سنوي,scam
حسابك مؤهل لبطاقة ائتمان ذهبية,scam
تم اكتشاف خطأ في رقم حسابك,scam
ادخل الرابط لتصحيح معلوماتك,scam
العميل العزيز تم اختيارك للمسابقة اليومية,scam
لديك مبلغ 10000 ريال غير مستخدم,scam
حسابك مقيد مؤقتا لاسباب امنية,scam
تم محاولة سرقة حسابك اتخذ الاجراء,scam
فزت بتلفزيون ذكي ادفع مصاريف التركيب,scam
البنك يقدم عروض تمويلية مذهلة,scam
ادخل هنا لاستلام قرض سريع,scam
حسابك يحتاج كلمة مرور جديدة,scam
تم تسجيل عملية غير مصرح بها,scam
اضغط لتفعيل عرضك الخاص,scam
لديك نقاط من المتجر استبدلها,scam
حسابك مؤهل للحصول على دعم حكومي,scam
تم اكتشاف محاولة تزوير هويتك,scam
ارسل البيانات لتفعيل بطاقتك,scam
لديك فرصة للفوز برحلة الى مكة,scam
حسابك في انتظار تفعيل المكافأة,scam
تم تجميد الاشتراك الخاص بك,scam
ادخل الرابط لاستلام هدية الشركة,scam
العميل العزيز لديك قرض شخصي مسبق الدفع,scam
حسابك مؤهل لخصم 80% على الاجهزة,scam
تم تسجيل شكوى بحقك تاكد,scam
اضغط هنا لتفادي اغلاق الخدمة,scam
لديك مكافأة نقدية من البنك المركزي,scam
حسابك غير مؤمن قم بتأمينه,scam
تم اختيارك للعرض الاستثنائي,scam
ارسل كود التفعيل لاستلام الجائزة,scam
لديك ربح في اليانصيب البنكي,scam
حسابك يحتاج تأكيد رقم الجوال,scam
تم اكتشاف عملية غير قانونية,scam
ادخل الرابط لتفعيل بطاقة الخصم,scam
فزت بدورة تدريبية مجانية,scam
البنك يقدم عروضا لسداد الديون,scam
لديك مبلغ مجاني في حسابك الان,scam
تم تسجيل محاولة قرصنة احمي نفسك,scam
اضغط لاستلام مكافأة العميل الدائم,scam
حسابك في قائمة المحظوظين اليوم,scam
تم تجميد ميزة الدفع من حسابك,scam
ارسل yes لتفعيل العرض الحصري,scam
لديك قسيمة سفر مجانية,scam
حسابك مؤهل للحصول على سيارة,scam
تم اكتشاف مخالفة مالية,scam
ادخل الرابط لاستلام المكافأة النهائية,scam
العميل العزيز تم اختيارك للعرض الذهبي,scam
لديك رصيد سحري اضغط لتفعيله,scam
حسابك يحتاج التحقق من البريد,scam
تم تسجيل دخولك من بلد اخر,scam
اضغط هنا لاستلام منحة دراسية,scam
لديك فرصة للفوز بجائزة نقدية,scam
حسابك مقيد بسبب نشاط مشبوه,scam
تم محاولة الوصول الى معلوماتك,scam
ارسل البيانات للفوز بجائزة السيارات,scam
لديك عرض سريع قبل الانتهاء,scam
حسابك مؤهل لربح مليون ريال,scam
تم اكتشاف تلاعب في حسابك,scam
ادخل الرابط لتفادي التجميد,scam
فزت بآيباد جديد ادفع الشحن فقط,scam
البنك يقدم قرض بدون ضمانات,scam
لديك مكافأة من عملياتك السابقة,scam
تم تسجيل محاولة احتيال باسمك,scam
اضغط لاستلام دخل اسبوعي,scam
حسابك في خطر شديد حميه الان,scam
تم تجميد جميع خدمات حسابك,scam
ارسل confirm لتفعيل مكافأتك,scam
لديك فرصة للفوز بشقة مفروشة,scam
حسابك يحتاج تحديث رقمي عاجل,scam
تم اختيارك كفائز بالقرعة اليومية,scam
ادخل الرابط لاستلام قرض السكن,scam
العميل العزيز لديك رصيد مجاني,scam
حسابك مؤهل لهدايا عيد الاضحى,scam
تم تسجيل عملية غير مألوفة,scam
اضغط هنا لتفعيل خدمة الحماية,scam
لديك مبلغ 500 ريال من المتجر,scam
حسابك غير نشط منذ فترة,scam
تم اكتشاف ثغرة في حسابك,scam
ارسل التفاصيل للفوز بالجائزة,scam
لديك عرض خيالي لا يفوت,scam
حسابك في قائمة الانتظار للجائزة,scam
تم تجميد المكافآت المتراكمة,scam
ادخل الرابط لاستلام هدية العميل,scam
فزت بجولة تسوق مجانية,scam
البنك يقدم فوائد على الرصيد,scam
لديك نقاط سحرية استخدمها,scam
تم تسجيل محاولة تزوير,scam
اضغط لتفعيل عرض نهاية الاسبوع,scam
حسابك مؤهل لبطاقة هدايا,scam
تم اكتشاف اختراق لحسابات العملاء,scam
ارسل الموافقة للحصول على المبلغ,scam
لديك فرصة للفوز بجائزة السفر,scam
حسابك يحتاج تأكيد سريع,scam
تم اختيارك للعرض الفضي,scam
